date,cough,fever,amnesia,sore throat,sore joint,isPartial,allergy,diarrhea,runny nose,sneeze,state,itch
2014-06-01,27,55,6,24,0,False,53,54,1,5,NE,26
2014-07-01,27,51,10,17,0,False,54,61,1,5,NE,34
2014-08-01,36,56,15,24,0,False,77,44,7,6,NE,20
2014-09-01,52,62,18,25,0,False,50,42,5,5,NE,25
2014-10-01,49,65,13,24,0,False,58,50,5,9,NE,20
2014-11-01,52,58,10,28,0,False,44,56,9,5,NE,17
2014-12-01,55,71,3,28,0,False,45,52,7,7,NE,16
2015-01-01,71,70,6,29,0,False,46,63,11,6,NE,24
2015-02-01,77,78,6,27,0,False,52,53,8,6,NE,16
2015-03-01,62,88,5,32,0,False,63,69,6,8,NE,16
2015-04-01,49,82,6,29,0,False,70,74,8,8,NE,20
2015-05-01,47,58,5,25,0,False,60,45,3,5,NE,28
2015-06-01,29,63,4,25,0,False,64,58,2,6,NE,35
2015-07-01,36,54,4,25,0,False,46,66,3,8,NE,34
2015-08-01,34,57,5,19,0,False,66,57,4,9,NE,21
2015-09-01,43,55,5,18,0,False,70,60,6,5,NE,26
2015-10-01,59,62,6,25,0,False,61,54,4,5,NE,21
2015-11-01,58,62,6,27,0,False,50,52,4,7,NE,18
2015-12-01,66,69,5,31,0,False,48,56,6,6,NE,19
2016-01-01,56,74,3,25,0,False,47,53,9,8,NE,16
2016-02-01,56,76,5,21,0,False,45,49,10,8,NE,15
2016-03-01,48,77,3,24,0,False,59,64,8,5,NE,17
2016-04-01,41,67,4,25,0,False,71,56,7,5,NE,23
2016-05-01,38,51,5,25,0,False,78,54,3,6,NE,21
2016-06-01,27,59,2,21,0,False,60,66,3,4,NE,37
2016-07-01,34,60,5,23,0,False,59,69,4,4,NE,33
2016-08-01,30,53,3,18,0,False,60,63,5,6,NE,27
2016-09-01,45,69,3,25,0,False,76,61,4,3,NE,27
2016-10-01,41,58,5,20,0,False,53,62,6,5,NE,22
2016-11-01,58,55,5,28,0,False,46,48,4,5,NE,18
2016-12-01,63,63,4,31,0,False,45,60,11,7,NE,21
2017-01-01,76,79,3,30,0,False,48,57,6,10,NE,19
2017-02-01,68,84,4,31,0,False,48,64,7,7,NE,17
2017-03-01,55,69,5,21,0,False,57,61,9,8,NE,17
2017-04-01,45,72,2,27,0,False,71,62,8,6,NE,24
2017-05-01,47,56,3,25,0,False,69,57,4,7,NE,27
